label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,3t_Fo_Ratio
1,8279,154,1181,2,2,0,1,1,0,1,0.01860128,0.142650079
1,1314,12,91725,0,0,0,2,0,0,1,0.00913242,69.80593607
0,2616,310,52557,1,1,0,1,1,0,0,0.118501529,20.09059633
1,8752,2352,164226,1,45,0,1,0,0,1,0.268738574,18.76439671
0,5878,4004,83516,1,17,0,1,0,0,0,0.681184076,14.20823409
1,8069,349,104691,0,27,14,1,1,0,1,0.043251952,12.97447019
1,516406,16,66216,0,3,1,2,0,1,1,3.10E-05,0.128224691
1,14504,12433,98099,2,2,1,1,1,0,1,0.857211804,6.76358246
1,1673,134,91457,1,9,0,1,0,0,1,0.080095637,54.66646742
1,18862,531,170173,1,9,0,1,0,0,1,0.02815184,9.022001909
1,3757,189,98516,1,9,0,1,0,0,1,0.050306095,26.22198563
1,6525,89,49723,1,9,0,1,0,1,1,0.013639847,7.620383142
1,10149,247,76633,0,9,1,1,0,0,1,0.024337373,7.550793182
1,13330,67,10754,1,338,0,1,0,0,1,0.005026257,0.806751688
0,1551,1861,9143,0,3,1,1,0,0,1,1.199871051,5.894906512
1,7307,457,85658,1,8,0,1,0,0,0,0.062542767,11.72273163
2,33685,206,38626,0,0,0,3,0,0,1,0.006115482,1.1466825
0,1551,1861,9143,0,2,1,1,0,0,1,1.199871051,5.894906512
0,1551,1861,9143,0,1,2,1,0,0,1,1.199871051,5.894906512
1,59965,119,195209,0,1,0,2,0,1,1,0.001984491,3.255382306
2,10149,247,76633,0,1,0,1,1,0,1,0.024337373,7.550793182
2,22082,98,230515,0,6,3,1,1,0,1,0.004438004,10.43904538
2,1631,294,74332,1,6,0,1,1,0,0,0.180257511,45.57449418
0,2510,589,100611,0,0,0,2,0,0,1,0.234661355,40.08406375
1,2992,1355,78531,1,338,0,1,0,0,1,0.452874332,26.24699198
1,31132,368,20783,0,23,5,1,1,1,1,0.011820635,0.66757677
2,1339062,209,206951,0,2,2,1,1,1,1,0.000156079,0.154549229
2,3539,60,1745,0,0,0,1,1,0,0,0.016953942,0.49307714
1,3716,2531,17790,1,3,0,2,0,0,1,0.681108719,4.787405813
0,1662,1606,4469,0,0,1,2,0,0,1,0.966305656,2.688929001
0,1662,1606,4469,1,1,0,1,0,0,1,0.966305656,2.688929001
0,1295,1771,20850,1,49,0,1,0,0,1,1.367567568,16.1003861
0,2052,198,19284,1,0,1,1,0,0,1,0.096491228,9.397660819
0,92683,738,2285,0,58,25,1,0,1,1,0.007962625,0.024653928
0,5976,4017,84128,1,7,0,1,0,0,0,0.672188755,14.07764391
0,1712,227,13551,0,1,1,1,0,0,1,0.132593458,7.915303738
0,3745,1405,79450,1,89,0,2,0,0,1,0.375166889,21.21495327
0,11500,1269,42933,1,5,27,2,0,0,1,0.110347826,3.733304348
0,11719,56,12131,1,30,0,1,0,0,1,0.004778565,1.035156583
0,28557,17769,24596,0,168,4,1,1,0,1,0.622229226,0.861294954
0,3740,640,52205,0,30,14,1,0,0,1,0.171122995,13.95855615
0,42024,1120,287055,1,22,0,1,0,0,0,0.026651437,6.830739577
0,22063,702,122581,0,1,0,1,1,0,1,0.031817976,5.555953406
0,18986,531,170870,3,73,0,1,0,0,1,0.027967976,8.999789318
0,3215,7,79719,0,2,0,1,1,0,1,0.002177294,24.79595645
0,2876,461,68221,0,6,0,1,0,0,1,0.160292072,23.72079277
0,10178,248,76881,0,9,1,1,0,0,1,0.02436628,7.553645117
0,5079,5011,82911,0,3,0,7,0,0,1,0.986611538,16.32427643
